"Scheduler_name"	"mean"	"median"	"Max"
"credit"	54.7463815254082	26.1754354999996	145.599186
"rtds"	54.7250232388775	54.0128254999997	101.291288
"aaf"	56.4091603542857	54.0803724999998	141.018775
"arinc"	56.2148100292857	23.3048935000002	177.010568
